code;codePlatform;codeSurvey;codeStation;date;codeSpecies;mesures
KONIENE_2010-05_C001;KONIENE;KONIENE_2010-05;KONIENE_Z001_T016;05/10/2010;h_scabra;170/35, 175/42, 130/30, 166/42, 160/42, 155/37, 162/45, 140/45, 142/43, 145/40, 190/50, 160/38, 126/46, 132/40, 180/40, 175/40, 140/36, 145/40, 150/47, 195/42, 160/40, 160/40, 162/50, 155/45, 160/45, 160/42, 180/42, 140/43,172/43 150/42, 160/42, 170/35, 160/45, 135/40, 165/48, 135/37, 145/40
KONIENE_2010-05_C002;KONIENE;KONIENE_2010-05;KONIENE_Z001_T017;05/10/2010;h_scabra;150/50,165/45,172/40,190/52,160/45,150/42,185/37,190/52,165/45,165/42,166/45,185/38,145/40,126/35,180/45
KONIENE_2010-05_C003;KONIENE;KONIENE_2010-05;KONIENE_Z001_T018;05/10/2010;h_scabra;153/47,160/60,230/50,170/55,200/50
KONIENE_2010-05_C004;KONIENE;KONIENE_2010-05;KONIENE_Z001_T019;05/10/2010;h_scabra;190/50,200/50,142/52,165/45,195/47,126/40,177/55,180/42,163/50,175/50,205/53,125/50,195/50,160/43,160/52,125/40,170/40,180/47,180/50,166/45,145/40,190/50,180/48
KONIENE_2010-05_C005;KONIENE;KONIENE_2010-05;KONIENE_Z001_T020;05/10/2010;;
KONIENE_2010-05_C006;KONIENE;KONIENE_2010-05;KONIENE_Z001_T027;05/10/2010;h_scabra;170/55,150/50
KONIENE_2010-05_C007;KONIENE;KONIENE_2010-05;KONIENE_Z001_T031;05/10/2010;h_scabra;180/60,150/55,180/60,150/40,160/50,180/55,180/50,150/45,180/55,145/55,170/45,110/40,180/40,140/55,140/50
KONIENE_2010-05_C008;KONIENE;KONIENE_2010-05;KONIENE_Z002_T002;05/10/2010;h_scabra;120/35,120/35,150/37
KONIENE_2010-05_C009;KONIENE;KONIENE_2010-05;KONIENE_Z002_T003;05/10/2010;h_scabra;205/55,175/50,125/42
